Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit
CA-2024-100068,2023-01-02,2023-01-06,First Class,CUST-6877,Divya N,Corporate,New Delhi,Delhi,Central,Technology,Accessories,PROD-TE-2301,Logitech Wireless Mouse,483.69,7,0.0,121.43
CA-2024-100132,2023-01-05,2023-01-09,Second Class,CUST-7284,Anitha M,Consumer,Chennai,Tamil Nadu,West,Office Supplies,Storage,PROD-OF-8285,Rubbermaid Containers,216.64,8,0.15,11.5
CA-2025-100053,2023-01-14,2023-01-18,First Class,CUST-7898,Karthik K,Corporate,New Delhi,Delhi,West,Office Supplies,Supplies,PROD-OF-1793,Staples Index Cards,458.31,4,0.05,130.91
CA-2024-100138,2023-01-15,2023-01-21,First Class,CUST-8397,Vijay P,Corporate,Ahmedabad,Gujarat,West,Furniture,Tables,PROD-FU-2735,Bevis Round Table,1379.39,6,0.05,48.31
CA-2025-100097,2023-01-15,2023-01-19,First Class,CUST-8266,Anitha P,Home Office,Bengaluru,Karnataka,South,Technology,Phones,PROD-TE-7540,Apple iPhone Business,493.39,1,0.3,-42.28
CA-2025-100047,2023-01-21,2023-01-27,First Class,CUST-6415,Suresh K,Corporate,Bengaluru,Karnataka,West,Technology,Machines,PROD-TE-4391,3D Printer Mini,739.35,5,0.05,83.01
CA-2024-100006,2023-01-21,2023-01-24,First Class,CUST-1580,Suresh N,Corporate,Ahmedabad,Gujarat,Central,Furniture,Furnishings,PROD-FU-8004,DAX Clear Frame,263.09,1,0.05,15.43
CA-2025-100029,2023-01-22,2023-01-26,Standard Class,CUST-4419,Vijay K,Home Office,New Delhi,Delhi,Central,Technology,Machines,PROD-TE-8239,3D Printer Mini,237.35,1,0.1,59.16
CA-2024-100116,2023-01-28,2023-01-30,First Class,CUST-8115,Divya P,Consumer,Chennai,Tamil Nadu,East,Furniture,Chairs,PROD-FU-7656,Hon Deluxe Fabric Chair,830.43,3,0.0,152.7
CA-2025-100163,2023-01-28,2023-02-01,Second Class,CUST-1685,Arun M,Home Office,Kochi,Kerala,South,Technology,Machines,PROD-TE-3160,3D Printer Mini,3654.39,8,0.2,120.81
CA-2025-100119,2023-02-02,2023-02-07,Standard Class,CUST-6370,Priya M,Consumer,Chennai,Tamil Nadu,Central,Technology,Phones,PROD-TE-1125,Samsung Galaxy Office,578.81,6,0.3,14.65
CA-2025-100063,2023-02-04,2023-02-05,Standard Class,CUST-9519,Arun S,Home Office,Bengaluru,Karnataka,West,Furniture,Furnishings,PROD-FU-8221,Eldon Wave Desk Accessories,88.12,1,0.2,8.7
CA-2024-100152,2023-02-05,2023-02-12,Standard Class,CUST-4716,Anitha R,Corporate,Kolkata,West Bengal,West,Furniture,Chairs,PROD-FU-5481,Hon Deluxe Fabric Chair,1591.25,5,0.3,-121.72
CA-2025-100095,2023-02-10,2023-02-13,Same Day,CUST-3752,Anitha R,Corporate,Kochi,Kerala,South,Furniture,Chairs,PROD-FU-9213,Global Ergonomic Chair,2849.35,6,0.0,313.98
CA-2025-100115,2023-02-10,2023-02-12,Same Day,CUST-8062,Priya N,Home Office,Chennai,Tamil Nadu,Central,Office Supplies,Envelopes,PROD-OF-4374,Staples Premium Envelopes,367.16,7,0.15,71.23
CA-2024-100120,2023-02-17,2023-02-18,Same Day,CUST-7294,Suresh M,Corporate,Bengaluru,Karnataka,Central,Technology,Copiers,PROD-TE-7527,Canon ImageRunner,760.33,2,0.3,2.04
CA-2024-100090,2023-02-22,2023-02-25,Second Class,CUST-4239,Suresh P,Corporate,Mumbai,Maharashtra,East,Office Supplies,Art,PROD-OF-3139,Newell 324 Art Set,141.35,3,0.15,10.64
CA-2025-100033,2023-02-28,2023-03-01,First Class,CUST-5164,Suresh P,Home Office,New Delhi,Delhi,West,Technology,Copiers,PROD-TE-8941,Xerox WorkCentre,4834.56,7,0.05,1309.93
CA-2024-100104,2023-03-04,2023-03-10,First Class,CUST-6791,Arun P,Home Office,New Delhi,Delhi,Central,Furniture,Tables,PROD-FU-9783,Bretford Conference Table,3996.44,9,0.0,583.89
CA-2024-100098,2023-03-06,2023-03-12,First Class,CUST-6658,Priya M,Consumer,Mumbai,Maharashtra,East,Furniture,Bookcases,PROD-FU-4778,Sauder Classic Bookcase,1489.05,9,0.0,140.2
CA-2024-100004,2023-03-13,2023-03-20,Same Day,CUST-2693,Suresh N,Home Office,Chennai,Tamil Nadu,Central,Technology,Accessories,PROD-TE-5752,Belkin USB Hub,1598.6,4,0.0,185.18
CA-2025-100065,2023-03-22,2023-03-24,Standard Class,CUST-5242,Anitha M,Corporate,Ahmedabad,Gujarat,Central,Office Supplies,Binders,PROD-OF-4695,Cardinal Slant-D Binders,111.11,4,0.2,2.57
CA-2025-100157,2023-03-27,2023-03-30,First Class,CUST-8083,Meena K,Consumer,Ahmedabad,Gujarat,West,Furniture,Tables,PROD-FU-7230,Bevis Round Table,2164.26,7,0.15,252.19
CA-2025-100013,2023-03-29,2023-03-31,First Class,CUST-4440,Suresh N,Consumer,Chennai,Tamil Nadu,South,Technology,Copiers,PROD-TE-4766,Canon ImageRunner,2244.06,8,0.3,-129.25
CA-2024-100058,2023-04-02,2023-04-05,Same Day,CUST-7783,Meena K,Home Office,Kochi,Kerala,South,Furniture,Bookcases,PROD-FU-5971,Sauder Classic Bookcase,1114.66,9,0.15,134.55
CA-2025-100145,2023-04-06,2023-04-09,Second Class,CUST-8842,Priya P,Home Office,Kochi,Kerala,South,Office Supplies,Art,PROD-OF-7721,Boston Pencil Pack,172.64,3,0.3,4.35
CA-2025-100125,2023-04-09,2023-04-15,Same Day,CUST-1454,Vijay R,Corporate,Kochi,Kerala,Central,Furniture,Bookcases,PROD-FU-3772,Bush Somerset Collection Bookcase,1651.61,6,0.0,187.36
CA-2025-100015,2023-04-10,2023-04-14,Second Class,CUST-8266,Anitha R,Corporate,Mumbai,Maharashtra,Central,Furniture,Bookcases,PROD-FU-5491,Bush Somerset Collection Bookcase,286.68,3,0.3,23.75
CA-2024-100000,2023-04-13,2023-04-15,First Class,CUST-6801,Priya N,Home Office,Chennai,Tamil Nadu,East,Furniture,Chairs,PROD-FU-3806,Hon Deluxe Fabric Chair,282.33,2,0.3,13.22
CA-2025-100071,2023-04-16,2023-04-18,Same Day,CUST-6941,Priya N,Home Office,Hyderabad,Telangana,Central,Office Supplies,Fasteners,PROD-OF-2386,OIC Binder Clips,753.49,9,0.05,231.64
CA-2025-100003,2023-04-17,2023-04-23,First Class,CUST-1004,Meena S,Corporate,Mumbai,Maharashtra,West,Furniture,Bookcases,PROD-FU-6222,Sauder Classic Bookcase,1200.6,6,0.0,188.99
CA-2024-100198,2023-04-23,2023-04-29,Same Day,CUST-6661,Meena S,Corporate,Hyderabad,Telangana,Central,Technology,Machines,PROD-TE-7142,Laminator Pro,193.72,1,0.0,27.36
CA-2024-100008,2023-05-02,2023-05-07,Second Class,CUST-8390,Divya P,Corporate,Mumbai,Maharashtra,East,Office Supplies,Paper,PROD-OF-7905,Hammermill Paper,150.57,5,0.0,42.88
CA-2025-100101,2023-05-09,2023-05-12,Standard Class,CUST-9884,Suresh N,Home Office,Ahmedabad,Gujarat,West,Furniture,Tables,PROD-FU-6655,Bretford Conference Table,3422.99,9,0.15,561.76
CA-2025-100017,2023-05-11,2023-05-18,Same Day,CUST-2542,Anitha R,Home Office,New Delhi,Delhi,West,Technology,Machines,PROD-TE-6293,Laminator Pro,2599.83,5,0.2,414.14
CA-2024-100044,2023-05-11,2023-05-12,First Class,CUST-1224,Suresh P,Corporate,New Delhi,Delhi,East,Technology,Phones,PROD-TE-5208,Apple iPhone Business,489.57,2,0.15,44.3
CA-2025-100117,2023-05-15,2023-05-21,Standard Class,CUST-3203,Karthik P,Consumer,Hyderabad,Telangana,West,Technology,Accessories,PROD-TE-2390,Belkin USB Hub,694.01,9,0.05,119.4
CA-2025-100105,2023-05-19,2023-05-23,Standard Class,CUST-2949,Divya P,Home Office,New Delhi,Delhi,South,Technology,Machines,PROD-TE-7732,3D Printer Mini,2207.95,6,0.3,257.45
CA-2024-100096,2023-06-06,2023-06-09,Standard Class,CUST-6126,Suresh S,Home Office,Chennai,Tamil Nadu,South,Office Supplies,Binders,PROD-OF-9220,Avery Durable Binders,893.34,8,0.15,199.24
CA-2024-100154,2023-06-09,2023-06-14,Same Day,CUST-8961,Vijay K,Corporate,Hyderabad,Telangana,West,Office Supplies,Fasteners,PROD-OF-6827,OIC Binder Clips,576.55,5,0.2,69.16
CA-2024-100026,2023-06-10,2023-06-12,Standard Class,CUST-3193,Arun N,Corporate,Kochi,Kerala,South,Office Supplies,Envelopes,PROD-OF-9415,Staples Premium Envelopes,262.58,5,0.2,4.18
CA-2025-100077,2023-06-11,2023-06-18,Same Day,CUST-5430,Arun P,Corporate,Kolkata,West Bengal,West,Office Supplies,Fasteners,PROD-OF-9820,OIC Binder Clips,86.81,9,0.1,6.81
CA-2024-100048,2023-06-16,2023-06-21,Second Class,CUST-3898,Vijay N,Consumer,Chennai,Tamil Nadu,West,Furniture,Tables,PROD-FU-8546,Bevis Round Table,608.11,6,0.15,85.82
CA-2024-100150,2023-06-20,2023-06-21,First Class,CUST-7406,Divya S,Home Office,Kolkata,West Bengal,East,Furniture,Furnishings,PROD-FU-9591,DAX Clear Frame,233.91,2,0.05,17.6
CA-2024-100092,2023-07-07,2023-07-08,First Class,CUST-4998,Suresh N,Consumer,Bengaluru,Karnataka,West,Office Supplies,Labels,PROD-OF-3403,Smead File Labels,657.09,5,0.0,91.11
CA-2024-100038,2023-07-09,2023-07-11,Second Class,CUST-6126,Divya S,Consumer,Kolkata,West Bengal,West,Furniture,Furnishings,PROD-FU-6122,DAX Clear Frame,1645.33,8,0.3,24.09
CA-2025-100173,2023-07-09,2023-07-14,Standard Class,CUST-6469,Priya K,Home Office,Chennai,Tamil Nadu,West,Technology,Phones,PROD-TE-7256,Samsung Galaxy Office,2043.91,3,0.05,395.82
CA-2024-100024,2023-07-11,2023-07-16,Second Class,CUST-4775,Anitha M,Home Office,Chennai,Tamil Nadu,East,Furniture,Chairs,PROD-FU-7042,Hon Deluxe Fabric Chair,896.55,5,0.15,2.32
CA-2024-100118,2023-07-20,2023-07-23,Second Class,CUST-7262,Meena R,Corporate,Bengaluru,Karnataka,West,Furniture,Bookcases,PROD-FU-2058,Sauder Classic Bookcase,1039.32,6,0.05,47.22
CA-2024-100078,2023-07-21,2023-07-25,Standard Class,CUST-5497,Karthik P,Home Office,Mumbai,Maharashtra,East,Office Supplies,Art,PROD-OF-2466,Newell 324 Art Set,924.6,7,0.05,190.61
CA-2024-100064,2023-07-25,2023-08-01,Second Class,CUST-3538,Anitha R,Home Office,Hyderabad,Telangana,South,Technology,Machines,PROD-TE-5547,3D Printer Mini,4626.98,9,0.15,215.09
CA-2025-100137,2023-07-26,2023-08-01,Same Day,CUST-1072,Vijay R,Consumer,Kolkata,West Bengal,Central,Technology,Phones,PROD-TE-6472,Apple iPhone Business,2459.09,3,0.0,625.17
CA-2024-100010,2023-08-03,2023-08-04,Same Day,CUST-4913,Anitha R,Home Office,Kolkata,West Bengal,Central,Office Supplies,Envelopes,PROD-OF-2066,Staples Premium Envelopes,564.08,8,0.2,115.16
CA-2025-100091,2023-08-05,2023-08-12,Same Day,CUST-5795,Karthik M,Home Office,Kolkata,West Bengal,Central,Office Supplies,Envelopes,PROD-OF-7150,Airmail Envelopes,22.61,1,0.2,5.63
